About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
Insurance | Mumbai +512 other locations,7900.0,ICICI Prudential Life Insurance,7900.0,23300.0,493.0,218.0,646.0,13.0
BPO | Hyderabad +49 other locations,4600.0,R1 RCM,4600.0,22800.0,369.0,132.0,351.0,23.0
Engineering & Construction | Mumbai +288 other locations,6900.0,Tata Projects,6900.0,22700.0,631.0,31.0,564.0,63.0
Pharma | Pune +204 other locations,7400.0,Lupin,7400.0,22600.0,454.0,55.0,781.0,11.0
Software Product | Hyderabad +41 other locations,3900.0,ADP Private Limited,3900.0,22500.0,300.0,42.0,469.0,16.0
IT Services & Consulting | Bengaluru +49 other locations,3100.0,Quest Global,3100.0,22200.0,371.0,253.0,200.0,11.0
Logistics | Gurugram +765 other locations,7900.0,Delhivery,7900.0,22100.0,626.0,290.0,672.0,71.0
Banking | Gurugram +29 other locations,3400.0,NatWest Group,3400.0,21900.0,240.0,54.0,371.0,11.0
Management Consulting | Pune +17 other locations,2800.0,ZS,2800.0,21800.0,534.0,129.0,273.0,23.0
Internet | Noida +169 other locations,6100.0,Indiamart Intermesh,6100.0,21800.0,783.0,224.0,471.0,22.0
Financial Services | Bengaluru +22 other locations,1600.0,Goldman Sachs,1600.0,21400.0,420.0,272.0,104.0,1.0
Auto Components | Bengaluru +133 other locations,4700.0,Bosch,4700.0,21300.0,388.0,,607.0,18.0
Analytics & KPO | Hyderabad +48 other locations,3200.0,S&P Global,3200.0,21100.0,338.0,103.0,219.0,
IT Services & Consulting | Bengaluru +38 other locations,3500.0,"NTT DATA, Inc.",3500.0,21100.0,160.0,153.0,632.0,7.0
Pharma | Ahmedabad +184 other locations,7600.0,Zydus Lifesciences,7600.0,20500.0,519.0,37.0,644.0,21.0
Insurance | Mumbai +321 other locations,5900.0,ICICI Lombard General Insurance Company,5900.0,20500.0,369.0,230.0,388.0,22.0
FMCG | Mumbai +547 other locations,7200.0,Hindustan Unilever,7200.0,20500.0,480.0,27.0,717.0,6.0
Pharma | Hyderabad +116 other locations,5800.0,Aurobindo Pharma,5800.0,20400.0,299.0,25.0,478.0,9.0
Emerging Technologies | Bengaluru +122 other locations,7600.0,HGS,7600.0,20400.0,279.0,25.0,973.0,32.0
Insurance | New Delhi +510 other locations,7300.0,Axis Max Life Insurance,7300.0,20200.0,426.0,1700.0,532.0,11.0
Internet | Bengaluru +145 other locations,5900.0,BigBasket,5900.0,20100.0,504.0,55.0,392.0,36.0
Logistics | Chennai +50 other locations,3800.0,Maersk,3800.0,19700.0,256.0,48.0,431.0,26.0
Retail | Mumbai +255 other locations,6200.0,DMart,6200.0,19600.0,572.0,233.0,496.0,17.0
Engineering & Construction | Chennai +436 other locations,7300.0,L&T Construction,7300.0,19500.0,954.0,,933.0,41.0
Real Estate | Hyderabad +92 other locations,5200.0,CBRE,5200.0,19400.0,362.0,67.0,466.0,19.0
Hardware & Networking | Bengaluru +48 other locations,2200.0,Cisco,2200.0,19300.0,421.0,264.0,228.0,19.0
Engineering & Construction | Hyderabad +410 other locations,7000.0,Megha Engineering & Infrastructures,7000.0,19200.0,589.0,20.0,559.0,39.0
Banking | Mumbai +27 other locations,2300.0,BNP Paribas,2300.0,19200.0,221.0,25.0,183.0,8.0
Automobile | Chennai +265 other locations,5600.0,Ashok Leyland,5600.0,19000.0,332.0,4.0,651.0,15.0
Industrial Machinery | Bengaluru +109 other locations,3400.0,ABB,3400.0,18900.0,301.0,720.0,357.0,5.0
Banking | Mumbai +294 other locations,4100.0,RBL Bank,4100.0,18700.0,252.0,35.0,235.0,11.0
Financial Services | Bengaluru +66 other locations,497.0,N+A,497.0,18600.0,176.0,5.0,13.0,
Internet | Gurugram +161 other locations,6200.0,PolicyBazaar,6200.0,18400.0,654.0,1400.0,256.0,28.0
Software Product | Bengaluru +53 other locations,2000.0,SAP,2000.0,18400.0,322.0,,286.0,22.0
IT Services & Consulting | Bengaluru +53 other locations,2200.0,Mercedes-Benz Research and Development India,2200.0,18300.0,210.0,,198.0,7.0
Logistics | New Delhi +45 other locations,2800.0,Exl India,2800.0,18200.0,136.0,2.0,174.0,1.0
IT Services & Consulting | Pune +41 other locations,3000.0,Fujitsu,3000.0,17900.0,214.0,134.0,197.0,19.0
Insurance | Pune +621 other locations,6700.0,Bajaj Life Insurance,6700.0,17900.0,453.0,91.0,494.0,17.0
Pharma | Ahmedabad +150 other locations,4700.0,Intas Pharmaceuticals,4700.0,17900.0,270.0,69.0,385.0,9.0
Industrial Automation | Pune +58 other locations,3500.0,Johnson Controls,3500.0,17800.0,309.0,12.0,270.0,28.0
Financial Services | Bengaluru +27 other locations,2500.0,Northern Trust Operating Services,2500.0,17800.0,244.0,100.0,230.0,13.0
FinTech | Pune +33 other locations,2900.0,Fiserv,2900.0,17800.0,202.0,51.0,323.0,11.0
Recruitment | Hyderabad +370 other locations,4800.0,Randstad,4800.0,17400.0,342.0,297.0,355.0,7.0
BPO | Bengaluru +36 other locations,3300.0,Conduent,3300.0,17300.0,244.0,487.0,373.0,10.0
Telecom | Bengaluru +165 other locations,2900.0,Nokia,2900.0,17300.0,331.0,195.0,550.0,15.0
IT Services & Consulting | Pune +15 other locations,2400.0,Cybage,2400.0,17200.0,215.0,26.0,275.0,4.0
Logistics | Bengaluru +740 other locations,7600.0,Ekart Logistics,7600.0,17200.0,415.0,,435.0,76.0
Healthcare | Chennai +226 other locations,5700.0,Apollo Hospitals,5700.0,16900.0,499.0,302.0,525.0,2.0
Automobile | Hosur +355 other locations,5200.0,TVS Motor,5200.0,16600.0,426.0,127.0,549.0,15.0
Recruitment | Bengaluru +406 other locations,4400.0,TeamLease Services,4400.0,16500.0,258.0,,233.0,6.0
NBFC | Mumbai +453 other locations,5800.0,Tata Capital,5800.0,16500.0,288.0,4100.0,275.0,24.0
